title,price,rating,availability,rating_numeric,sentiment
A Light in the Attic,51.77,Three,0,3,Neutral
Tipping the Velvet,53.74,One,0,1,Negative
Soumission,50.1,One,0,1,Negative
Sharp Objects,47.82,Four,0,4,Positive
Sapiens: A Brief History of Humankind,54.23,Five,0,5,Positive
The Requiem Red,22.65,One,0,1,Negative
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,0,4,Positive
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,0,3,Neutral
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,0,4,Positive
The Black Maria,52.15,One,0,1,Negative
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,0,2,Negative
Shakespeare's Sonnets,20.66,Four,0,4,Positive
Set Me Free,17.46,Five,0,5,Positive
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,0,5,Positive
Rip it Up and Start Again,35.02,Five,0,5,Positive
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,0,3,Neutral
Olio,23.88,One,0,1,Negative
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,0,1,Negative
Libertarianism for Beginners,51.33,Two,0,2,Negative
It's Only the Himalayas,45.17,Two,0,2,Negative
In Her Wake,12.84,One,0,1,Negative
How Music Works,37.32,Two,0,2,Negative
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,0,3,Neutral
Chase Me (Paris Nights #2),25.27,Five,0,5,Positive
Black Dust,34.53,Five,0,5,Positive
Birdsong: A Story in Pictures,54.64,Three,0,3,Neutral
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,0,3,Neutral
Aladdin and His Wonderful Lamp,53.13,Three,0,3,Neutral
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,0,5,Positive
Wall and Piece,44.18,Four,0,4,Positive
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,0,5,Positive
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,0,3,Neutral
The Elephant Tree,23.82,Five,0,5,Positive
The Bear and the Piano,36.89,One,0,1,Negative
