title,price,rating,availability,rating_numeric
A Light in the Attic,51.77,Three,0,3
Tipping the Velvet,53.74,One,0,1
Soumission,50.1,One,0,1
Sharp Objects,47.82,Four,0,4
Sapiens: A Brief History of Humankind,54.23,Five,0,5
The Requiem Red,22.65,One,0,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,0,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,0,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,0,4
The Black Maria,52.15,One,0,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,0,2
Shakespeare's Sonnets,20.66,Four,0,4
Set Me Free,17.46,Five,0,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,0,5
Rip it Up and Start Again,35.02,Five,0,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,0,3
Olio,23.88,One,0,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,0,1
Libertarianism for Beginners,51.33,Two,0,2
It's Only the Himalayas,45.17,Two,0,2
In Her Wake,12.84,One,0,1
How Music Works,37.32,Two,0,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,0,3
Chase Me (Paris Nights #2),25.27,Five,0,5
Black Dust,34.53,Five,0,5
Birdsong: A Story in Pictures,54.64,Three,0,3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,0,3
Aladdin and His Wonderful Lamp,53.13,Three,0,3
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,0,5
Wall and Piece,44.18,Four,0,4
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,0,5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,0,3
The Elephant Tree,23.82,Five,0,5
The Bear and the Piano,36.89,One,0,1
Sophie's World,15.94,Five,0,5
Penny Maybe,33.29,Three,0,3
Maude (1883-1993):She Grew Up with the country,18.02,Two,0,2
"In a Dark, Dark Wood",19.63,One,0,1
Behind Closed Doors,52.22,Four,0,4
You can't bury them all: Poems,33.63,Two,0,2
Slow States of Collapse: Poems,57.31,Three,0,3
Reasons to Stay Alive,26.41,Two,0,2
Private Paris (Private #10),47.61,Five,0,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,0,5
Without Borders (Wanderlove #1),45.07,Two,0,2
When We Collided,31.77,One,0,1
"We Love You, Charlie Freeman",50.27,Five,0,5
Untitled Collection: Sabbath Poems 2014,14.27,Four,0,4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,0,4
Unicorn Tracks,18.78,Three,0,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,0,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,0,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,0,3
This One Summer,19.49,Four,0,4
Thirst,17.27,Five,0,5
The Torch Is Passed: A Harding Family Story,19.09,One,0,1
The Secret of Dreadwillow Carse,56.13,One,0,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,0,1
The Past Never Ends,56.5,Four,0,4
